Date,Open,High,Low,Close
17-09-07,26.45,27.08,25.8,26.48
18-09-07,25.79,26.23,20.27,20.35
19-09-07,19.96,20.57,19.17,20.03
20-09-07,20.47,20.82,19.55,20.45
21-09-07,19.44,19.81,18.37,19
24-09-07,19.04,19.62,18.32,19.37
25-09-07,20.25,20.46,18.44,18.6
26-09-07,17.92,18.18,17.3,17.63
27-09-07,17.12,17.47,16.95,17
28-09-07,17.23,18.22,16.91,18
01-10-07,18.44,18.44,17.11,17.84
02-10-07,17.67,18.89,17.6,18.49
03-10-07,18.88,18.99,18.31,18.8
04-10-07,18.65,18.65,18.26,18.44
05-10-07,17.55,17.56,16.44,16.91
08-10-07,17.73,17.83,17.32,17.46
09-10-07,17.15,17.28,16.09,16.12
10-10-07,16.42,17.35,16.39,16.67
11-10-07,16.15,19.73,16.08,18.88
12-10-07,18.68,18.74,17.49,17.73
15-10-07,18.14,20.01,17.95,19.25
16-10-07,20.07,20.75,19.73,20.02
17-10-07,18.76,20.11,18.28,18.54
18-10-07,19.16,19.56,17.73,18.5
19-10-07,19.15,22.96,19.02,22.96
22-10-07,23.89,23.94,21.38,21.64
23-10-07,21.29,21.43,20.13,20.41
24-10-07,21.16,24.15,20.59,20.8
25-10-07,20.84,22.4,20.04,21.17
26-10-07,19.84,20.97,19.48,19.56
29-10-07,19.93,20.24,19.54,19.87
30-10-07,20.46,21.15,20.31,21.07
31-10-07,20.53,22.09,18.3,18.53
01-11-07,19.89,24.15,17.38,23.21
02-11-07,22.56,25.17,22.56,23.01
05-11-07,25.25,25.46,23.61,24.31
06-11-07,23.5,23.74,21.24,21.39
07-11-07,23.15,26.85,22.75,26.49
08-11-07,26.45,29.15,25.32,26.16
09-11-07,27.96,28.84,26.21,28.5
12-11-07,30.57,31.09,24.47,31.09
13-11-07,27.47,27.5,23.82,24.1
14-11-07,23.35,27.03,23.07,25.94
15-11-07,26.96,29.31,25.98,28.06
16-11-07,27.04,28.12,25.12,25.49
19-11-07,26.74,27.18,25.74,26.01
20-11-07,26.12,27.35,23.62,24.88
21-11-07,26.3,27.77,24.55,26.84
23-11-07,26.42,26.42,25.35,25.61
26-11-07,26.46,28.95,25.84,28.91
27-11-07,28.14,28.24,26.23,26.28
28-11-07,25.14,25.14,23.55,24.11
29-11-07,24.59,24.61,23.35,23.97
30-11-07,22.67,23.39,22,22.87
03-12-07,23.59,24.49,23.4,23.61
04-12-07,24.3,24.59,23.32,23.79
05-12-07,22.72,23.03,21.87,22.53
06-12-07,22.68,22.75,20.87,20.96
07-12-07,20.69,21.01,20.29,20.85
10-12-07,21.16,21.46,20.36,20.74
11-12-07,20.69,23.7,19.77,23.59
12-12-07,20.82,24.22,20.49,22.47
13-12-07,23.53,24.04,22.41,22.56
14-12-07,23.53,23.53,22.26,23.27
17-12-07,24.13,24.86,23.42,24.52
18-12-07,23.7,24.6,22.41,22.64
19-12-07,22.62,22.68,21.3,21.68
20-12-07,21.02,21.67,20.58,20.58
21-12-07,19.82,19.82,18.28,18.47
24-12-07,19.08,19.42,18.48,18.6
26-12-07,19.37,19.47,18.6,18.66
27-12-07,19.15,20.51,19.15,20.26
28-12-07,19.59,21.05,19.44,20.74
31-12-07,21.87,22.75,21.79,22.5
02-01-08,22.58,24.05,22.4,23.17
03-01-08,23.11,23.27,22.11,22.49
04-01-08,23.5,24.3,23.25,23.94
07-01-08,24.62,24.88,23.3,23.79
08-01-08,23.27,25.6,22.63,25.43
09-01-08,25.61,25.95,23.9,24.12
10-01-08,24.56,24.61,22.62,23.45
11-01-08,24.04,24.41,23.22,23.68
14-01-08,23.76,23.93,22.65,22.9
15-01-08,24.1,24.59,22.97,23.34
16-01-08,23.9,24.38,22.85,24.38
17-01-08,24.11,28.51,23.87,28.46
18-01-08,27.55,29.3,26.27,27.18
22-01-08,35.12,37.57,29.71,31.01
23-01-08,33.84,34.42,28.47,29.02
24-01-08,28.07,28.48,27.03,27.78
25-01-08,26.19,29.76,25.93,29.08
28-01-08,29.67,30.26,27.57,27.78
29-01-08,26.61,27.96,26.55,27.32
30-01-08,27.53,28.34,24.74,27.62
31-01-08,28.78,28.81,25.45,26.2
01-02-08,25.66,25.75,24.02,24.02
04-02-08,25.09,26.03,24.85,25.99
05-02-08,27.2,28.49,27.2,28.24
06-02-08,27.75,29.31,27.04,28.97
07-02-08,29.51,29.7,26.78,27.66
08-02-08,27.98,28.89,27.22,28.01
11-02-08,29.14,29.57,27.32,27.6
12-02-08,26.56,27.17,25.25,26.33
13-02-08,25.67,26.06,24.57,24.88
14-02-08,24.64,25.64,23.98,25.54
15-02-08,25.58,25.67,24.45,25.02
19-02-08,25.39,26.59,24.73,25.59
20-02-08,25.6,26.95,24.21,24.4
21-02-08,24.42,25.45,23.74,25.12
22-02-08,24.99,25.93,23.62,24.06
25-02-08,24.06,25.07,22.69,23.03
26-02-08,23.44,23.45,21.64,21.9
27-02-08,21.9,23.01,21.83,22.69
28-02-08,22.69,23.79,22.69,23.53
29-02-08,23.54,26.91,23.54,26.54
03-03-08,27.54,28.13,26.27,26.28
04-03-08,27.19,27.42,25.51,25.52
05-03-08,25.52,25.77,23.3,24.6
06-03-08,25.45,27.9,25.04,27.55
07-03-08,28.52,29.29,26.48,27.49
10-03-08,28.13,29.73,27.92,29.38
11-03-08,27.25,28.64,26.35,26.36
12-03-08,26.39,27.25,24.9,27.22
13-03-08,27.22,29.62,25.65,27.29
14-03-08,27.31,32.89,26.02,31.16
17-03-08,35.14,35.6,31.1,32.24
18-03-08,32.24,32.24,25.58,25.79
19-03-08,25.78,29.95,25.16,29.84
20-03-08,29.84,29.84,25.8,26.62
24-03-08,26.64,27.04,24.75,25.73
25-03-08,25.75,26.42,25.17,25.72
26-03-08,25.75,26.85,25.51,26.08
27-03-08,25.55,25.98,24.91,25.88
28-03-08,25.81,25.96,25.04,25.71
31-03-08,25.71,26.77,25.35,25.61
01-04-08,25.61,25.61,22.52,22.68
02-04-08,22.64,23.65,22.39,23.43
03-04-08,23.84,24.15,23,23.21
04-04-08,23,23.31,21.75,22.45
07-04-08,22.45,22.73,21.21,22.42
08-04-08,22.42,23.16,22.36,22.36
09-04-08,22.36,23.57,22.36,22.81
10-04-08,22.8,23.22,21.63,21.98
11-04-08,23.03,23.59,22.65,23.46
14-04-08,23.46,24.35,23.46,23.82
15-04-08,23.84,23.99,22.72,22.78
16-04-08,22.03,22.09,20.5,20.53
17-04-08,21.13,21.54,20.35,20.37
18-04-08,20.37,20.37,19.21,20.13
21-04-08,20.15,21.12,20.15,20.5
22-04-08,20.47,21.6,20.47,20.87
23-04-08,20.63,20.95,19.88,20.26
24-04-08,20.26,20.77,19.21,20.06
25-04-08,19.6,20.36,19.28,19.59
