,Date,Open,High,Low,Close
0,2007-09-17,26.45,27.08,25.8,26.48
1,2007-09-18,25.79,26.23,20.27,20.35
2,2007-09-19,19.96,20.57,19.17,20.03
3,2007-09-20,20.47,20.82,19.55,20.45
4,2007-09-21,19.44,19.81,18.37,19.0
5,2007-09-24,19.04,19.62,18.32,19.37
6,2007-09-25,20.25,20.46,18.44,18.6
7,2007-09-26,17.92,18.18,17.3,17.63
8,2007-09-27,17.12,17.47,16.95,17.0
9,2007-09-28,17.23,18.22,16.91,18.0
10,2007-10-01,18.44,18.44,17.11,17.84
11,2007-10-02,17.67,18.89,17.6,18.49
12,2007-10-03,18.88,18.99,18.31,18.8
13,2007-10-04,18.65,18.65,18.26,18.44
14,2007-10-05,17.55,17.56,16.44,16.91
15,2007-10-08,17.73,17.83,17.32,17.46
16,2007-10-09,17.15,17.28,16.09,16.12
17,2007-10-10,16.42,17.35,16.39,16.67
18,2007-10-11,16.15,19.73,16.08,18.88
19,2007-10-12,18.68,18.74,17.49,17.73
20,2007-10-15,18.14,20.01,17.95,19.25
21,2007-10-16,20.07,20.75,19.73,20.02
22,2007-10-17,18.76,20.11,18.28,18.54
23,2007-10-18,19.16,19.56,17.73,18.5
24,2007-10-19,19.15,22.96,19.02,22.96
25,2007-10-22,23.89,23.94,21.38,21.64
26,2007-10-23,21.29,21.43,20.13,20.41
27,2007-10-24,21.16,24.15,20.59,20.8
28,2007-10-25,20.84,22.4,20.04,21.17
29,2007-10-26,19.84,20.97,19.48,19.56
30,2007-10-29,19.93,20.24,19.54,19.87
31,2007-10-30,20.46,21.15,20.31,21.07
32,2007-10-31,20.53,22.09,18.3,18.53
33,2007-11-01,19.89,24.15,17.38,23.21
34,2007-11-02,22.56,25.17,22.56,23.01
35,2007-11-05,25.25,25.46,23.61,24.31
36,2007-11-06,23.5,23.74,21.24,21.39
37,2007-11-07,23.15,26.85,22.75,26.49
38,2007-11-08,26.45,29.15,25.32,26.16
39,2007-11-09,27.96,28.84,26.21,28.5
40,2007-11-12,30.57,31.09,24.47,31.09
41,2007-11-13,27.47,27.5,23.82,24.1
42,2007-11-14,23.35,27.03,23.07,25.94
43,2007-11-15,26.96,29.31,25.98,28.06
44,2007-11-16,27.04,28.12,25.12,25.49
45,2007-11-19,26.74,27.18,25.74,26.01
46,2007-11-20,26.12,27.35,23.62,24.88
47,2007-11-21,26.3,27.77,24.55,26.84
48,2007-11-23,26.42,26.42,25.35,25.61
49,2007-11-26,26.46,28.95,25.84,28.91
50,2007-11-27,28.14,28.24,26.23,26.28
51,2007-11-28,25.14,25.14,23.55,24.11
52,2007-11-29,24.59,24.61,23.35,23.97
53,2007-11-30,22.67,23.39,22.0,22.87
54,2007-12-03,23.59,24.49,23.4,23.61
55,2007-12-04,24.3,24.59,23.32,23.79
56,2007-12-05,22.72,23.03,21.87,22.53
57,2007-12-06,22.68,22.75,20.87,20.96
58,2007-12-07,20.69,21.01,20.29,20.85
59,2007-12-10,21.16,21.46,20.36,20.74
60,2007-12-11,20.69,23.7,19.77,23.59
61,2007-12-12,20.82,24.22,20.49,22.47
62,2007-12-13,23.53,24.04,22.41,22.56
63,2007-12-14,23.53,23.53,22.26,23.27
64,2007-12-17,24.13,24.86,23.42,24.52
65,2007-12-18,23.7,24.6,22.41,22.64
